symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
rapid breathing,coughing,breathlessness,short breaths,fatigue,wheezing,trouble sleeping,chest tightness,asthma
breathlessness,wheezing,short breaths,fatigue,coughing,chest tightness,trouble sleeping,,asthma
loss of appetite,fatigue,sore throat,body pain,chills,sweating,weakness,,fever
abdominal pain,dry cough,constipation,weakness,vomiting,loss of appetite,fever,body ache,typhoid
fatigue,memory problems,dry skin,slow heart rate,depression,muscle weakness,weight gain,hair loss,thyroid
shortness of breath,chest pain,fever,cough,fatigue,chills,phlegm,,pneumonia
chest tightness,coughing,rapid breathing,short breaths,fatigue,trouble sleeping,wheezing,breathlessness,asthma
frequent urination,hunger,slow healing,blurred vision,tingling in feet,fatigue,weight loss,increased thirst,diabetes
high temperature,sweating,loss of appetite,sore throat,headache,weakness,fatigue,,fever
nausea,sound sensitivity,sensitivity to light,headache,vision issues,fatigue,vomiting,,migraine
nausea,dizziness,left arm pain,shortness of breath,jaw pain,cold sweat,irregular heartbeat,,heart attack
abdominal pain,fever,vomiting,body ache,dry cough,constipation,headache,,typhoid
fatigue,memory problems,hair loss,slow heart rate,weight gain,depression,dry skin,muscle weakness,thyroid
weakness,loss of appetite,high temperature,fatigue,sore throat,chills,sweating,,fever
weakness,bleeding,skin changes,lump,weight loss,fatigue,night sweats,loss of appetite,cancer
fatigue,sweating,rapid heartbeat,vomiting,nausea,chills,fever,headache,malaria
fatigue,breathlessness,trouble sleeping,short breaths,rapid breathing,coughing,wheezing,,asthma
chest pain,nausea,dizziness,cold sweat,fatigue,irregular heartbeat,shortness of breath,,heart attack
fatigue,vision issues,vomiting,headache,sound sensitivity,nausea,neck pain,sensitivity to light,migraine
dizziness,cold sweat,jaw pain,left arm pain,fatigue,chest pain,irregular heartbeat,shortness of breath,heart attack
nausea,neck pain,fatigue,headache,vision issues,sound sensitivity,sensitivity to light,vomiting,migraine
nausea,headache,vomiting,sensitivity to light,sound sensitivity,fatigue,neck pain,vision issues,migraine
vomiting,fever,loss of appetite,body ache,weakness,abdominal pain,headache,dry cough,typhoid
loss of appetite,fatigue,weakness,high temperature,sweating,body pain,sore throat,,fever
blurred vision,weight loss,hunger,tingling in feet,fatigue,increased thirst,slow healing,frequent urination,diabetes
fatigue,cold sweat,left arm pain,irregular heartbeat,dizziness,jaw pain,nausea,chest pain,heart attack
weight loss,fatigue,blurred vision,tingling in feet,frequent urination,hunger,increased thirst,slow healing,diabetes
vomiting,abdominal pain,dry cough,loss of appetite,body ache,headache,weakness,,typhoid
nausea,headache,neck pain,vomiting,fatigue,vision issues,sensitivity to light,sound sensitivity,migraine
fever,weakness,constipation,headache,dry cough,loss of appetite,vomiting,abdominal pain,typhoid
chills,phlegm,fatigue,shortness of breath,chest pain,fever,rapid breathing,cough,pneumonia
weight loss,hunger,fatigue,increased thirst,tingling in feet,blurred vision,frequent urination,slow healing,diabetes
cough,chills,chest pain,fatigue,shortness of breath,phlegm,rapid breathing,fever,pneumonia
weight gain,slow heart rate,dry skin,memory problems,hair loss,depression,muscle weakness,fatigue,thyroid
sweating,muscle pain,nausea,rapid heartbeat,fever,chills,headache,fatigue,malaria
loss of appetite,bleeding,pain,night sweats,weakness,weight loss,lump,,cancer
weakness,pain,bleeding,fatigue,loss of appetite,weight loss,lump,,cancer
chest pain,chills,rapid breathing,fever,fatigue,shortness of breath,phlegm,,pneumonia
left arm pain,shortness of breath,fatigue,jaw pain,irregular heartbeat,chest pain,dizziness,,heart attack
shortness of breath,chills,cough,fatigue,fever,chest pain,phlegm,rapid breathing,pneumonia
cough,fatigue,rapid breathing,chills,shortness of breath,fever,chest pain,phlegm,pneumonia
fatigue,bleeding,weight loss,skin changes,pain,loss of appetite,night sweats,weakness,cancer
irregular heartbeat,nausea,fatigue,jaw pain,cold sweat,shortness of breath,chest pain,dizziness,heart attack
vision issues,fatigue,neck pain,sound sensitivity,vomiting,headache,sensitivity to light,nausea,migraine
fever,vomiting,abdominal pain,body ache,constipation,dry cough,weakness,headache,typhoid
fatigue,phlegm,chest pain,cough,shortness of breath,fever,chills,,pneumonia
headache,sound sensitivity,vomiting,sensitivity to light,nausea,fatigue,vision issues,,migraine
dry skin,fatigue,memory problems,slow heart rate,depression,hair loss,muscle weakness,weight gain,thyroid
vomiting,dry cough,fever,abdominal pain,headache,loss of appetite,constipation,weakness,typhoid
fever,fatigue,muscle pain,sweating,rapid heartbeat,vomiting,headache,chills,malaria
muscle pain,vomiting,headache,fatigue,rapid heartbeat,nausea,fever,,malaria
chest pain,cold sweat,jaw pain,left arm pain,shortness of breath,nausea,fatigue,,heart attack
abdominal pain,vomiting,fever,body ache,dry cough,loss of appetite,constipation,headache,typhoid
memory problems,slow heart rate,weight gain,muscle weakness,hair loss,dry skin,fatigue,depression,thyroid
dry cough,fever,headache,weakness,abdominal pain,loss of appetite,body ache,vomiting,typhoid
sore throat,fatigue,chills,headache,loss of appetite,sweating,body pain,,fever
body ache,loss of appetite,dry cough,fever,constipation,vomiting,headache,abdominal pain,typhoid
weight loss,tingling in feet,slow healing,increased thirst,frequent urination,fatigue,blurred vision,hunger,diabetes
chest tightness,coughing,trouble sleeping,wheezing,fatigue,short breaths,breathlessness,,asthma
cough,rapid breathing,phlegm,chest pain,chills,fever,fatigue,,pneumonia
body pain,chills,weakness,fatigue,high temperature,sweating,sore throat,loss of appetite,fever
fatigue,fever,vomiting,headache,nausea,sweating,muscle pain,,malaria
dry cough,fever,abdominal pain,vomiting,headache,body ache,weakness,,typhoid
fatigue,high temperature,body pain,sweating,loss of appetite,chills,sore throat,,fever
depression,dry skin,fatigue,memory problems,weight gain,slow heart rate,muscle weakness,hair loss,thyroid
muscle weakness,slow heart rate,weight gain,dry skin,memory problems,hair loss,fatigue,depression,thyroid
constipation,fever,dry cough,abdominal pain,vomiting,weakness,body ache,,typhoid
loss of appetite,sore throat,weakness,headache,body pain,high temperature,fatigue,sweating,fever
loss of appetite,headache,sore throat,high temperature,weakness,sweating,fatigue,chills,fever
dizziness,left arm pain,jaw pain,irregular heartbeat,cold sweat,chest pain,shortness of breath,fatigue,heart attack
weight loss,skin changes,bleeding,pain,lump,fatigue,loss of appetite,,cancer
fatigue,chest pain,shortness of breath,fever,cough,phlegm,rapid breathing,,pneumonia
depression,muscle weakness,memory problems,fatigue,hair loss,slow heart rate,weight gain,,thyroid
trouble sleeping,wheezing,coughing,chest tightness,short breaths,breathlessness,fatigue,,asthma
weight loss,tingling in feet,hunger,increased thirst,blurred vision,fatigue,slow healing,frequent urination,diabetes
vomiting,sound sensitivity,nausea,fatigue,headache,vision issues,neck pain,,migraine
vomiting,chills,fatigue,nausea,muscle pain,headache,sweating,,malaria
breathlessness,coughing,wheezing,chest tightness,trouble sleeping,rapid breathing,short breaths,fatigue,asthma
weight loss,tingling in feet,slow healing,increased thirst,hunger,frequent urination,fatigue,blurred vision,diabetes
fever,vomiting,body ache,headache,constipation,dry cough,weakness,abdominal pain,typhoid
vomiting,fatigue,muscle pain,headache,fever,chills,nausea,,malaria
sensitivity to light,sound sensitivity,fatigue,vision issues,neck pain,nausea,headache,vomiting,migraine
short breaths,breathlessness,trouble sleeping,chest tightness,fatigue,wheezing,rapid breathing,coughing,asthma
trouble sleeping,short breaths,coughing,fatigue,breathlessness,chest tightness,wheezing,rapid breathing,asthma
fatigue,loss of appetite,headache,weakness,body pain,sweating,chills,,fever
skin changes,weight loss,weakness,night sweats,loss of appetite,lump,bleeding,fatigue,cancer
nausea,muscle pain,rapid heartbeat,chills,fatigue,fever,vomiting,,malaria
headache,nausea,vomiting,muscle pain,fatigue,fever,chills,,malaria
nausea,left arm pain,irregular heartbeat,dizziness,cold sweat,shortness of breath,fatigue,,heart attack
blurred vision,hunger,increased thirst,slow healing,weight loss,fatigue,frequent urination,,diabetes
neck pain,vomiting,vision issues,fatigue,nausea,sensitivity to light,sound sensitivity,,migraine
shortness of breath,nausea,chest pain,jaw pain,fatigue,left arm pain,cold sweat,,heart attack
irregular heartbeat,chest pain,cold sweat,jaw pain,shortness of breath,nausea,fatigue,,heart attack
fatigue,chest pain,fever,shortness of breath,rapid breathing,phlegm,cough,chills,pneumonia
nausea,dizziness,irregular heartbeat,shortness of breath,chest pain,fatigue,left arm pain,cold sweat,heart attack
headache,vomiting,sound sensitivity,fatigue,vision issues,nausea,neck pain,sensitivity to light,migraine
pain,night sweats,fatigue,lump,weight loss,skin changes,bleeding,,cancer
rapid breathing,wheezing,short breaths,breathlessness,coughing,fatigue,chest tightness,trouble sleeping,asthma
sound sensitivity,neck pain,nausea,fatigue,vomiting,vision issues,sensitivity to light,,migraine
rapid breathing,phlegm,fatigue,fever,shortness of breath,chills,cough,chest pain,pneumonia
irregular heartbeat,chest pain,fatigue,left arm pain,jaw pain,nausea,dizziness,,heart attack
neck pain,fatigue,nausea,headache,sound sensitivity,vision issues,sensitivity to light,vomiting,migraine
chills,chest pain,phlegm,rapid breathing,cough,fever,fatigue,,pneumonia
nausea,cold sweat,dizziness,irregular heartbeat,left arm pain,jaw pain,chest pain,fatigue,heart attack
night sweats,skin changes,weakness,weight loss,fatigue,pain,bleeding,,cancer
weight gain,muscle weakness,fatigue,depression,dry skin,hair loss,memory problems,slow heart rate,thyroid
increased thirst,hunger,blurred vision,weight loss,tingling in feet,frequent urination,slow healing,,diabetes
depression,slow heart rate,fatigue,weight gain,memory problems,hair loss,dry skin,,thyroid
abdominal pain,constipation,loss of appetite,weakness,body ache,vomiting,dry cough,,typhoid
sensitivity to light,headache,vomiting,neck pain,sound sensitivity,fatigue,vision issues,,migraine
fatigue,headache,nausea,neck pain,vision issues,sound sensitivity,sensitivity to light,,migraine
fatigue,increased thirst,blurred vision,frequent urination,tingling in feet,weight loss,hunger,slow healing,diabetes
memory problems,depression,hair loss,muscle weakness,fatigue,dry skin,slow heart rate,,thyroid
rapid breathing,cough,fatigue,chest pain,chills,shortness of breath,fever,phlegm,pneumonia
sweating,rapid heartbeat,muscle pain,headache,fatigue,chills,nausea,,malaria
sound sensitivity,fatigue,vision issues,nausea,sensitivity to light,headache,neck pain,,migraine
frequent urination,weight loss,fatigue,blurred vision,slow healing,increased thirst,hunger,,diabetes
headache,fatigue,sensitivity to light,vision issues,vomiting,nausea,sound sensitivity,neck pain,migraine
fatigue,nausea,shortness of breath,chest pain,jaw pain,cold sweat,left arm pain,irregular heartbeat,heart attack
irregular heartbeat,dizziness,left arm pain,fatigue,chest pain,cold sweat,nausea,shortness of breath,heart attack
sound sensitivity,neck pain,vomiting,vision issues,headache,fatigue,nausea,sensitivity to light,migraine
cold sweat,left arm pain,irregular heartbeat,shortness of breath,jaw pain,fatigue,dizziness,,heart attack
high temperature,headache,fatigue,chills,weakness,body pain,loss of appetite,,fever
vomiting,headache,constipation,dry cough,fever,weakness,abdominal pain,body ache,typhoid
constipation,abdominal pain,vomiting,weakness,loss of appetite,dry cough,body ache,fever,typhoid
fever,fatigue,cough,phlegm,chills,shortness of breath,rapid breathing,,pneumonia
weakness,bleeding,night sweats,weight loss,fatigue,skin changes,loss of appetite,,cancer
sensitivity to light,headache,vomiting,nausea,fatigue,vision issues,sound sensitivity,,migraine
trouble sleeping,short breaths,chest tightness,fatigue,coughing,rapid breathing,wheezing,,asthma
dry skin,weight gain,memory problems,muscle weakness,depression,fatigue,slow heart rate,hair loss,thyroid
chills,headache,body pain,high temperature,sore throat,sweating,loss of appetite,weakness,fever
rapid breathing,chest pain,fatigue,fever,chills,phlegm,cough,,pneumonia
vomiting,loss of appetite,dry cough,constipation,body ache,headache,weakness,,typhoid
cough,phlegm,fever,fatigue,chills,rapid breathing,chest pain,shortness of breath,pneumonia
fatigue,memory problems,slow heart rate,dry skin,muscle weakness,depression,hair loss,,thyroid
hair loss,muscle weakness,fatigue,memory problems,weight gain,depression,dry skin,,thyroid
frequent urination,blurred vision,weight loss,fatigue,hunger,slow healing,tingling in feet,,diabetes
loss of appetite,high temperature,sore throat,chills,body pain,fatigue,sweating,headache,fever
chills,body pain,weakness,loss of appetite,high temperature,sore throat,sweating,headache,fever
chest tightness,coughing,fatigue,rapid breathing,short breaths,breathlessness,trouble sleeping,,asthma
depression,dry skin,weight gain,muscle weakness,slow heart rate,memory problems,fatigue,hair loss,thyroid
vomiting,sound sensitivity,headache,nausea,fatigue,sensitivity to light,neck pain,,migraine
slow healing,hunger,frequent urination,increased thirst,tingling in feet,blurred vision,fatigue,weight loss,diabetes
headache,sound sensitivity,nausea,vision issues,sensitivity to light,vomiting,fatigue,,migraine
sensitivity to light,sound sensitivity,vision issues,neck pain,vomiting,headache,fatigue,nausea,migraine
nausea,headache,rapid heartbeat,muscle pain,fatigue,fever,chills,vomiting,malaria
shortness of breath,phlegm,fatigue,cough,fever,rapid breathing,chills,,pneumonia
loss of appetite,night sweats,lump,pain,skin changes,weakness,fatigue,,cancer
constipation,fever,dry cough,loss of appetite,headache,vomiting,weakness,abdominal pain,typhoid
chest tightness,short breaths,rapid breathing,wheezing,trouble sleeping,coughing,breathlessness,fatigue,asthma
neck pain,vomiting,fatigue,headache,nausea,sound sensitivity,sensitivity to light,vision issues,migraine
tingling in feet,blurred vision,fatigue,weight loss,frequent urination,hunger,slow healing,increased thirst,diabetes
shortness of breath,dizziness,nausea,jaw pain,cold sweat,chest pain,irregular heartbeat,,heart attack
lump,weight loss,skin changes,weakness,night sweats,fatigue,pain,,cancer
muscle pain,fever,nausea,sweating,headache,rapid heartbeat,vomiting,fatigue,malaria
vision issues,nausea,vomiting,sensitivity to light,neck pain,headache,fatigue,sound sensitivity,migraine
loss of appetite,sweating,headache,fatigue,body pain,sore throat,chills,weakness,fever
phlegm,shortness of breath,cough,rapid breathing,chest pain,fatigue,chills,fever,pneumonia
muscle pain,nausea,headache,rapid heartbeat,fatigue,sweating,vomiting,fever,malaria
slow heart rate,fatigue,memory problems,muscle weakness,depression,hair loss,weight gain,,thyroid
abdominal pain,headache,vomiting,constipation,weakness,fever,loss of appetite,,typhoid
phlegm,fatigue,chest pain,cough,fever,shortness of breath,rapid breathing,chills,pneumonia
frequent urination,tingling in feet,hunger,fatigue,weight loss,slow healing,increased thirst,blurred vision,diabetes
jaw pain,chest pain,fatigue,left arm pain,dizziness,nausea,irregular heartbeat,,heart attack
wheezing,fatigue,short breaths,rapid breathing,coughing,breathlessness,trouble sleeping,chest tightness,asthma
fatigue,increased thirst,weight loss,slow healing,frequent urination,tingling in feet,blurred vision,hunger,diabetes
slow heart rate,depression,fatigue,hair loss,muscle weakness,dry skin,memory problems,weight gain,thyroid
short breaths,trouble sleeping,wheezing,breathlessness,fatigue,rapid breathing,chest tightness,,asthma
loss of appetite,chills,weakness,sweating,fatigue,sore throat,body pain,headache,fever
headache,muscle pain,sweating,nausea,chills,rapid heartbeat,vomiting,fatigue,malaria
frequent urination,weight loss,hunger,increased thirst,slow healing,fatigue,tingling in feet,,diabetes
irregular heartbeat,left arm pain,chest pain,fatigue,nausea,shortness of breath,jaw pain,,heart attack
weakness,night sweats,skin changes,loss of appetite,weight loss,bleeding,pain,,cancer
high temperature,headache,loss of appetite,body pain,chills,sore throat,fatigue,,fever
short breaths,rapid breathing,breathlessness,coughing,chest tightness,trouble sleeping,fatigue,wheezing,asthma
weakness,night sweats,skin changes,fatigue,pain,bleeding,weight loss,lump,cancer
sweating,nausea,headache,muscle pain,fever,fatigue,rapid heartbeat,,malaria
blurred vision,weight loss,hunger,fatigue,slow healing,increased thirst,tingling in feet,frequent urination,diabetes
tingling in feet,increased thirst,slow healing,blurred vision,hunger,weight loss,fatigue,,diabetes
fatigue,weight loss,loss of appetite,night sweats,skin changes,weakness,lump,,cancer
fever,shortness of breath,rapid breathing,cough,phlegm,fatigue,chest pain,chills,pneumonia
muscle pain,sweating,headache,rapid heartbeat,fever,chills,nausea,vomiting,malaria
sensitivity to light,vomiting,fatigue,neck pain,nausea,sound sensitivity,headache,,migraine
left arm pain,dizziness,nausea,jaw pain,chest pain,shortness of breath,fatigue,cold sweat,heart attack
fatigue,rapid breathing,fever,shortness of breath,chills,cough,chest pain,,pneumonia
fever,fatigue,rapid heartbeat,vomiting,nausea,sweating,chills,,malaria
phlegm,cough,rapid breathing,fatigue,shortness of breath,chills,fever,chest pain,pneumonia
frequent urination,hunger,tingling in feet,fatigue,weight loss,slow healing,blurred vision,increased thirst,diabetes
weight gain,hair loss,depression,slow heart rate,fatigue,memory problems,dry skin,muscle weakness,thyroid
fatigue,chest tightness,breathlessness,wheezing,rapid breathing,coughing,short breaths,trouble sleeping,asthma
fatigue,weakness,loss of appetite,body pain,chills,sweating,headache,,fever
fatigue,muscle pain,vomiting,nausea,headache,sweating,rapid heartbeat,,malaria
nausea,vision issues,sensitivity to light,headache,sound sensitivity,neck pain,vomiting,,migraine
sound sensitivity,nausea,neck pain,headache,sensitivity to light,vision issues,vomiting,fatigue,migraine
short breaths,chest tightness,breathlessness,wheezing,fatigue,trouble sleeping,coughing,,asthma
chest pain,phlegm,chills,rapid breathing,fatigue,fever,shortness of breath,cough,pneumonia
weakness,fever,abdominal pain,loss of appetite,constipation,body ache,dry cough,headache,typhoid
slow heart rate,fatigue,weight gain,hair loss,depression,memory problems,dry skin,muscle weakness,thyroid
vision issues,headache,vomiting,sensitivity to light,nausea,sound sensitivity,fatigue,neck pain,migraine
hunger,slow healing,frequent urination,increased thirst,tingling in feet,weight loss,fatigue,blurred vision,diabetes
phlegm,fatigue,fever,chills,cough,shortness of breath,chest pain,rapid breathing,pneumonia
muscle weakness,depression,fatigue,weight gain,hair loss,slow heart rate,memory problems,dry skin,thyroid
phlegm,chest pain,fever,cough,chills,shortness of breath,rapid breathing,fatigue,pneumonia
rapid breathing,fever,phlegm,cough,chills,chest pain,shortness of breath,,pneumonia
wheezing,coughing,fatigue,breathlessness,trouble sleeping,chest tightness,rapid breathing,,asthma
wheezing,fatigue,short breaths,trouble sleeping,rapid breathing,breathlessness,chest tightness,,asthma
wheezing,fatigue,rapid breathing,coughing,short breaths,trouble sleeping,chest tightness,,asthma
fatigue,vomiting,chills,sweating,rapid heartbeat,headache,fever,nausea,malaria
slow heart rate,fatigue,dry skin,muscle weakness,hair loss,depression,memory problems,weight gain,thyroid
loss of appetite,sweating,body pain,weakness,fatigue,chills,sore throat,,fever
hunger,blurred vision,increased thirst,weight loss,slow healing,fatigue,tingling in feet,,diabetes
pain,fatigue,weakness,lump,weight loss,skin changes,bleeding,night sweats,cancer
muscle weakness,dry skin,hair loss,weight gain,slow heart rate,memory problems,depression,,thyroid
jaw pain,shortness of breath,fatigue,left arm pain,irregular heartbeat,dizziness,cold sweat,chest pain,heart attack
weight loss,increased thirst,tingling in feet,fatigue,hunger,blurred vision,slow healing,,diabetes
vomiting,muscle pain,nausea,headache,fever,rapid heartbeat,sweating,,malaria
body pain,loss of appetite,chills,high temperature,fatigue,sore throat,sweating,,fever
weight gain,hair loss,depression,dry skin,memory problems,muscle weakness,fatigue,slow heart rate,thyroid
chest pain,chills,rapid breathing,phlegm,cough,shortness of breath,fatigue,fever,pneumonia
dry cough,vomiting,weakness,body ache,headache,constipation,abdominal pain,,typhoid
loss of appetite,chills,fatigue,high temperature,sweating,sore throat,weakness,,fever
slow healing,increased thirst,tingling in feet,blurred vision,hunger,weight loss,frequent urination,,diabetes
body ache,constipation,vomiting,weakness,abdominal pain,headache,dry cough,fever,typhoid
hunger,blurred vision,increased thirst,slow healing,weight loss,frequent urination,fatigue,,diabetes
vomiting,sweating,muscle pain,fever,headache,nausea,chills,rapid heartbeat,malaria
irregular heartbeat,dizziness,shortness of breath,nausea,jaw pain,fatigue,chest pain,,heart attack
memory problems,weight gain,fatigue,slow heart rate,depression,dry skin,muscle weakness,hair loss,thyroid
fatigue,body pain,weakness,sore throat,sweating,high temperature,loss of appetite,,fever
short breaths,rapid breathing,trouble sleeping,breathlessness,wheezing,coughing,fatigue,chest tightness,asthma
headache,dry cough,weakness,loss of appetite,constipation,abdominal pain,fever,vomiting,typhoid
headache,weakness,constipation,fever,body ache,vomiting,loss of appetite,,typhoid
chills,nausea,fever,headache,muscle pain,fatigue,sweating,,malaria
fatigue,headache,vomiting,vision issues,nausea,sound sensitivity,neck pain,sensitivity to light,migraine
constipation,body ache,headache,vomiting,fever,dry cough,weakness,loss of appetite,typhoid
fatigue,sweating,body pain,high temperature,headache,sore throat,loss of appetite,,fever
weakness,chills,loss of appetite,body pain,headache,fatigue,sweating,,fever
constipation,body ache,abdominal pain,headache,dry cough,fever,vomiting,weakness,typhoid
chills,vomiting,fatigue,nausea,headache,rapid heartbeat,muscle pain,,malaria
fever,vomiting,loss of appetite,dry cough,headache,body ache,weakness,,typhoid
depression,muscle weakness,hair loss,weight gain,dry skin,slow heart rate,memory problems,,thyroid
loss of appetite,headache,chills,fatigue,high temperature,sore throat,weakness,body pain,fever
fever,sweating,chills,headache,fatigue,muscle pain,vomiting,,malaria
fever,headache,vomiting,nausea,muscle pain,fatigue,sweating,chills,malaria
chills,rapid breathing,chest pain,phlegm,cough,fever,shortness of breath,fatigue,pneumonia
chest pain,nausea,dizziness,fatigue,irregular heartbeat,shortness of breath,left arm pain,jaw pain,heart attack
vomiting,vision issues,sensitivity to light,neck pain,fatigue,sound sensitivity,nausea,,migraine
body ache,headache,dry cough,constipation,vomiting,fever,loss of appetite,weakness,typhoid
fatigue,weight loss,night sweats,pain,weakness,loss of appetite,lump,,cancer
tingling in feet,fatigue,blurred vision,weight loss,frequent urination,hunger,slow healing,increased thirst,diabetes
neck pain,sound sensitivity,sensitivity to light,fatigue,vomiting,headache,nausea,vision issues,migraine
nausea,sensitivity to light,fatigue,headache,neck pain,vision issues,sound sensitivity,vomiting,migraine
chest pain,fatigue,shortness of breath,cold sweat,left arm pain,jaw pain,dizziness,nausea,heart attack
sensitivity to light,vomiting,headache,nausea,fatigue,sound sensitivity,neck pain,,migraine
headache,high temperature,sweating,weakness,chills,loss of appetite,body pain,,fever
hunger,slow healing,fatigue,increased thirst,frequent urination,tingling in feet,weight loss,,diabetes
headache,loss of appetite,dry cough,constipation,weakness,vomiting,abdominal pain,,typhoid
sensitivity to light,neck pain,vision issues,headache,nausea,fatigue,vomiting,,migraine
nausea,cold sweat,fatigue,shortness of breath,irregular heartbeat,chest pain,left arm pain,,heart attack
fever,muscle pain,nausea,vomiting,headache,chills,sweating,fatigue,malaria
fatigue,sweating,muscle pain,rapid heartbeat,fever,nausea,vomiting,headache,malaria
cold sweat,dizziness,nausea,fatigue,left arm pain,irregular heartbeat,jaw pain,,heart attack
memory problems,weight gain,dry skin,depression,slow heart rate,hair loss,fatigue,,thyroid
weakness,night sweats,weight loss,bleeding,fatigue,lump,skin changes,,cancer
vomiting,sound sensitivity,headache,vision issues,neck pain,sensitivity to light,fatigue,nausea,migraine
blurred vision,tingling in feet,frequent urination,hunger,increased thirst,slow healing,weight loss,fatigue,diabetes
fatigue,chills,rapid heartbeat,nausea,headache,vomiting,sweating,fever,malaria
fatigue,neck pain,sound sensitivity,sensitivity to light,vomiting,headache,vision issues,,migraine
breathlessness,short breaths,coughing,fatigue,trouble sleeping,wheezing,rapid breathing,chest tightness,asthma
night sweats,skin changes,bleeding,weight loss,weakness,pain,fatigue,,cancer
sore throat,headache,high temperature,fatigue,chills,body pain,loss of appetite,,fever
phlegm,cough,shortness of breath,fatigue,chills,fever,chest pain,,pneumonia
coughing,rapid breathing,wheezing,breathlessness,fatigue,chest tightness,short breaths,trouble sleeping,asthma
loss of appetite,vomiting,fever,dry cough,headache,abdominal pain,constipation,weakness,typhoid
phlegm,chest pain,fever,fatigue,shortness of breath,chills,cough,,pneumonia
fatigue,depression,hair loss,dry skin,slow heart rate,muscle weakness,weight gain,,thyroid
coughing,wheezing,trouble sleeping,breathlessness,chest tightness,fatigue,rapid breathing,short breaths,asthma
loss of appetite,skin changes,night sweats,pain,weakness,weight loss,bleeding,fatigue,cancer
rapid breathing,chest pain,phlegm,chills,fatigue,shortness of breath,fever,cough,pneumonia
loss of appetite,sore throat,fatigue,high temperature,body pain,sweating,chills,headache,fever
fatigue,muscle weakness,depression,weight gain,hair loss,dry skin,slow heart rate,memory problems,thyroid
short breaths,breathlessness,coughing,rapid breathing,trouble sleeping,wheezing,chest tightness,,asthma
nausea,vomiting,neck pain,fatigue,vision issues,headache,sound sensitivity,sensitivity to light,migraine
